GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Math,org.apache.commons.math4.stat.descriptive,SummaryStatistics,96,874,19,41,28,169,28,42,9,31
Apache Commons Math,org.apache.commons.math4.stat.descriptive,AggregateSummaryStatistics,75,272,9,15,14,56,14,15,5,12
Apache Commons Math,org.apache.commons.math4.stat.descriptive,MultivariateSummaryStatistics,0,726,8,36,0,145,8,50,0,36
Apache Commons Math,org.apache.commons.math4.stat.descriptive,AbstractUnivariateStatistic,68,33,10,2,13,7,7,6,2,5
Apache Commons Math,org.apache.commons.math4.stat.descriptive,AbstractStorelessUnivariateStatistic,7,118,3,17,1,26,3,14,0,7
Apache Commons Math,org.apache.commons.math4.stat.descriptive,SynchronizedDescriptiveStatistics,9,73,0,0,4,28,2,14,2,14
Apache Commons Math,org.apache.commons.math4.stat.descriptive,DescriptiveStatistics,89,856,2,26,18,151,3,63,1,51
Apache Commons Math,org.apache.commons.math4.stat.descriptive,StatisticalSummaryValues,0,225,5,11,0,45,5,14,0,11
Apache Commons Math,org.apache.commons.math4.stat.descriptive,SynchronizedSummaryStatistics,72,77,0,0,29,30,13,24,13,24
Apache Commons Math,org.apache.commons.math4.stat.descriptive,SynchronizedMultivariateSummaryStatistics,0,104,0,0,0,41,0,31,0,31
Apache Commons Math,org.apache.commons.math4.stat.descriptive,AggregateSummaryStatistics.AggregatingSummaryStatistics,36,22,8,0,8,8,6,2,2,2
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,Circle.CircleTransform,0,43,0,0,0,10,0,4,0,4
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,S2Point,3,221,4,16,1,42,4,21,0,15
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,PropertiesComputer,10,192,3,13,3,41,3,14,0,9
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,Edge,35,236,1,11,4,47,1,14,0,9
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,SphericalPolygonsSet,23,733,13,69,7,146,11,45,0,15
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,Sphere2D,2,6,0,0,1,3,1,3,1,3
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,Circle,6,218,0,2,1,43,1,24,1,23
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,Vertex,2,77,1,5,1,23,1,10,0,8
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,Sphere2D.LazyHolder,0,6,0,0,0,1,0,1,0,1
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,SubCircle,0,82,0,8,0,14,0,7,0,3
Apache Commons Math,org.apache.commons.math4.geometry.spherical.twod,EdgesBuilder,7,251,1,23,1,52,1,18,0,7
Apache Commons Math,org.apache.commons.math4.optim.nonlinear.scalar,MultivariateFunctionMappingAdapter.UpperBoundMapper,0,20,0,0,0,5,0,3,0,3
Apache Commons Math,org.apache.commons.math4.optim.nonlinear.scalar,LeastSquaresConverter,25,175,3,15,3,35,3,10,0,4
Apache Commons Math,org.apache.commons.math4.optim.nonlinear.scalar,MultiStartMultivariateOptimizer,0,41,0,0,0,11,0,5,0,5
Apache Commons Math,org.apache.commons.math4.optim.nonlinear.scalar,MultivariateFunctionPenaltyAdapter,29,159,3,17,3,26,3,9,0,2
Apache Commons Math,org.apache.commons.math4.optim.nonlinear.scalar,MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,27,0,0,0,6,0,3,0,3
Apache Commons Math,org.apache.commons.math4.optim.nonlinear.scalar,GoalType,0,24,0,0,0,3,0,1,0,1
Apache Commons Math,org.apache.commons.math4.optim.nonlinear.scalar,MultivariateFunctionMappingAdapter.LowerBoundMapper,0,18,0,0,0,5,0,3,0,3
