,CLASS,PACKAGE,KILLED,,MEMORY_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
0,AVLTree,org.apache.commons.math3.geometry.partitioning.utilities,100,0,6,21,0,127,78.74015748
1,Abs,org.apache.commons.math3.analysis.function,0,0,0,1,0,1,0
2,AbstractConvergenceChecker,org.apache.commons.math3.optim,2,0,0,0,0,2,100
3,AbstractConvergenceChecker,org.apache.commons.math3.optimization,2,0,0,0,0,2,100
4,AbstractConvexHullGenerator2D,org.apache.commons.math3.geometry.euclidean.twod.hull,5,0,0,1,0,6,83.33333333
5,AbstractCurveFitter,org.apache.commons.math3.fitting,13,0,0,0,0,13,100
6,AbstractDifferentiableOptimizer,org.apache.commons.math3.optimization.general,0,0,3,0,0,3,0
7,AbstractDifferentiableUnivariateSolver,org.apache.commons.math3.analysis.solvers,2,0,0,1,0,3,66.66666667
8,AbstractEvaluation,org.apache.commons.math3.fitting.leastsquares,10,0,0,0,0,10,100
9,AbstractFieldIntegrator,org.apache.commons.math3.ode,38,0,2,9,5,54,79.62962963
10,AbstractFieldMatrix,org.apache.commons.math3.linear,312,0,41,66,0,419,74.46300716
11,AbstractFieldStepInterpolator,org.apache.commons.math3.ode.sampling,7,0,0,0,0,7,100
12,AbstractFormat,org.apache.commons.math3.fraction,17,0,1,4,0,22,77.27272727
13,AbstractIntegerDistribution,org.apache.commons.math3.distribution,37,0,3,15,9,64,71.875
14,AbstractIntegrator,org.apache.commons.math3.ode,55,0,2,9,6,72,84.72222222
15,AbstractLeastSquaresOptimizer,org.apache.commons.math3.optim.nonlinear.vector.jacobian,25,1,1,0,0,27,96.2962963
16,AbstractLeastSquaresOptimizer,org.apache.commons.math3.optimization.general,40,1,3,6,0,50,82
17,AbstractLinearOptimizer,org.apache.commons.math3.optimization.linear,8,0,0,2,1,11,81.81818182
18,AbstractListChromosome,org.apache.commons.math3.genetics,3,0,0,2,0,5,60
19,AbstractMultipleLinearRegression,org.apache.commons.math3.stat.regression,53,0,1,7,0,61,86.8852459
20,AbstractMultivariateRealDistribution,org.apache.commons.math3.distribution,7,0,0,1,0,8,87.5
21,AbstractOptimizationProblem,org.apache.commons.math3.optim,3,0,0,0,0,3,100
22,AbstractParameterizable,org.apache.commons.math3.ode,4,0,1,0,0,5,80
23,AbstractPolynomialSolver,org.apache.commons.math3.analysis.solvers,2,0,0,0,0,2,100
24,AbstractRandomGenerator,org.apache.commons.math3.random,32,0,3,9,7,51,76.47058824
25,AbstractRealDistribution,org.apache.commons.math3.distribution,47,0,1,12,4,64,79.6875
26,AbstractRealMatrix,org.apache.commons.math3.linear,323,0,36,50,0,409,78.97310513
27,AbstractRegion,org.apache.commons.math3.geometry.partitioning,81,0,9,8,0,98,82.65306122
28,AbstractScalarDifferentiableOptimizer,org.apache.commons.math3.optimization.general,3,0,0,0,0,3,100
29,AbstractSimplex,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,65,0,2,4,2,73,91.78082192
30,AbstractSimplex,org.apache.commons.math3.optimization.direct,65,0,2,4,2,73,91.78082192
31,AbstractStepInterpolator,org.apache.commons.math3.ode.sampling,61,0,5,4,0,70,87.14285714
32,AbstractStorelessUnivariateStatistic,org.apache.commons.math3.stat.descriptive,23,0,0,3,0,26,88.46153846
33,AbstractSubHyperplane,org.apache.commons.math3.geometry.partitioning,16,0,1,0,0,17,94.11764706
34,AbstractUnivariateDifferentiableSolver,org.apache.commons.math3.analysis.solvers,3,0,0,0,0,3,100
35,AbstractUnivariateStatistic,org.apache.commons.math3.stat.descriptive,8,0,12,0,0,20,40
36,AbstractWell,org.apache.commons.math3.random,37,0,0,2,1,40,95
37,Acos,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
38,Acosh,org.apache.commons.math3.analysis.function,0,0,3,0,0,3,0
39,AdamsBashforthFieldIntegrator,org.apache.commons.math3.ode.nonstiff,23,0,1,14,9,47,68.08510638
40,AdamsBashforthIntegrator,org.apache.commons.math3.ode.nonstiff,44,0,6,19,13,82,69.51219512
41,AdamsFieldIntegrator,org.apache.commons.math3.ode.nonstiff,3,0,0,0,0,3,100
42,AdamsFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,11,0,1,2,0,14,78.57142857
43,AdamsIntegrator,org.apache.commons.math3.ode.nonstiff,3,0,0,0,0,3,100
44,AdamsMoultonFieldIntegrator,org.apache.commons.math3.ode.nonstiff,23,0,1,16,9,49,65.30612245
45,AdamsMoultonIntegrator,org.apache.commons.math3.ode.nonstiff,41,0,6,22,17,86,67.44186047
46,AdamsNordsieckFieldTransformer,org.apache.commons.math3.ode.nonstiff,50,0,0,14,0,64,78.125
47,AdamsNordsieckTransformer,org.apache.commons.math3.ode.nonstiff,82,0,1,0,0,83,98.79518072
48,AdaptiveStepsizeFieldIntegrator,org.apache.commons.math3.ode.nonstiff,21,0,9,13,3,46,52.17391304
49,AdaptiveStepsizeIntegrator,org.apache.commons.math3.ode.nonstiff,46,0,2,15,14,77,77.92207792
50,Add,org.apache.commons.math3.analysis.function,2,0,0,0,0,2,100
51,AggregateSummaryStatistics,org.apache.commons.math3.stat.descriptive,36,0,18,6,0,60,60
52,AgrestiCoullInterval,org.apache.commons.math3.stat.interval,17,0,0,0,0,17,100
53,AkimaSplineInterpolator,org.apache.commons.math3.analysis.interpolation,94,0,0,6,0,100,94
54,AklToussaintHeuristic,org.apache.commons.math3.geometry.euclidean.twod.hull,16,0,2,22,0,40,40
55,Arc,org.apache.commons.math3.geometry.spherical.oned,26,0,1,7,0,34,76.47058824
56,ArcsSet,org.apache.commons.math3.geometry.spherical.oned,139,0,21,42,14,216,70.83333333
57,ArgUtils,org.apache.commons.math3.exception.util,6,0,0,0,0,6,100
58,ArithmeticUtils,org.apache.commons.math3.util,145,0,17,24,27,213,80.75117371
59,Array2DRowFieldMatrix,org.apache.commons.math3.linear,133,0,8,32,0,173,76.87861272
60,Array2DRowRealMatrix,org.apache.commons.math3.linear,154,0,0,29,0,183,84.15300546
61,ArrayFieldVector,org.apache.commons.math3.linear,145,0,32,81,0,258,56.20155039
62,ArrayRealVector,org.apache.commons.math3.linear,254,0,5,35,0,294,86.39455782
63,Asin,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
64,Asinh,org.apache.commons.math3.analysis.function,0,0,3,0,0,3,0
65,Atan,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
66,Atan2,org.apache.commons.math3.analysis.function,0,0,1,0,0,1,0
67,Atanh,org.apache.commons.math3.analysis.function,0,0,3,0,0,3,0
68,BOBYQAOptimizer,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,1016,0,175,357,15,1563,65.96289187
69,BOBYQAOptimizer,org.apache.commons.math3.optimization.direct,1017,0,175,358,13,1563,65.89891235
70,BSPTree,org.apache.commons.math3.geometry.partitioning,82,0,6,28,0,116,70.68965517
71,BaseAbstractMultivariateOptimizer,org.apache.commons.math3.optimization.direct,44,0,0,1,0,45,97.77777778
72,BaseAbstractMultivariateSimpleBoundsOptimizer,org.apache.commons.math3.optimization.direct,2,0,0,0,0,2,100
73,BaseAbstractMultivariateVectorOptimizer,org.apache.commons.math3.optimization.direct,20,0,11,1,0,32,62.5
74,BaseAbstractUnivariateIntegrator,org.apache.commons.math3.analysis.integration,15,0,0,3,1,19,84.21052632
75,BaseAbstractUnivariateOptimizer,org.apache.commons.math3.optimization.univariate,18,0,0,0,0,18,100
76,BaseAbstractUnivariateSolver,org.apache.commons.math3.analysis.solvers,22,0,1,1,0,24,91.66666667
77,BaseMultiStartMultivariateOptimizer,org.apache.commons.math3.optim,24,0,0,7,3,34,79.41176471
78,BaseMultivariateMultiStartOptimizer,org.apache.commons.math3.optimization,15,0,4,7,0,26,57.69230769
79,BaseMultivariateOptimizer,org.apache.commons.math3.optim,25,0,0,1,0,26,96.15384615
80,BaseMultivariateVectorMultiStartOptimizer,org.apache.commons.math3.optimization,14,0,2,16,0,32,43.75
81,BaseOptimizer,org.apache.commons.math3.optim,14,0,4,0,0,18,77.77777778
82,BaseRuleFactory,org.apache.commons.math3.analysis.integration.gauss,8,0,0,3,2,13,76.92307692
83,BaseSecantSolver,org.apache.commons.math3.analysis.solvers,40,0,0,15,0,55,72.72727273
84,BesselJ,org.apache.commons.math3.special,240,0,12,115,1,368,65.48913043
85,Beta,org.apache.commons.math3.special,227,0,5,26,5,263,88.21292776
86,BetaDistribution,org.apache.commons.math3.distribution,106,0,9,22,5,142,78.16901408
87,BiDiagonalTransformer,org.apache.commons.math3.linear,213,0,3,9,0,225,94.66666667
88,BicubicInterpolatingFunction,org.apache.commons.math3.analysis.interpolation,110,0,0,0,0,110,100
89,BicubicInterpolator,org.apache.commons.math3.analysis.interpolation,35,0,0,6,1,42,85.71428571
90,BicubicSplineInterpolatingFunction,org.apache.commons.math3.analysis.interpolation,116,0,8,32,0,156,74.35897436
91,BicubicSplineInterpolator,org.apache.commons.math3.analysis.interpolation,36,0,0,18,0,54,66.66666667
92,BigFraction,org.apache.commons.math3.fraction,161,0,18,23,1,203,79.80295567
93,BigFractionField,org.apache.commons.math3.fraction,5,0,0,0,0,5,100
94,BigFractionFormat,org.apache.commons.math3.fraction,27,0,4,6,0,37,72.97297297
95,BigReal,org.apache.commons.math3.util,15,0,2,2,0,19,78.94736842
96,BigRealField,org.apache.commons.math3.util,4,0,1,0,0,5,80
97,BinaryChromosome,org.apache.commons.math3.genetics,14,0,1,1,1,17,88.23529412
98,BinaryMutation,org.apache.commons.math3.genetics,3,0,0,0,0,3,100
99,BinomialDistribution,org.apache.commons.math3.distribution,39,0,1,0,0,40,97.5
100,BinomialTest,org.apache.commons.math3.stat.inference,21,0,4,8,2,35,65.71428571
101,BisectionSolver,org.apache.commons.math3.analysis.solvers,5,0,0,3,0,8,62.5
102,BitsStreamGenerator,org.apache.commons.math3.random,42,0,23,9,3,77,58.44155844
103,BlockFieldMatrix,org.apache.commons.math3.linear,742,0,103,96,0,941,78.8522848
104,BlockRealMatrix,org.apache.commons.math3.linear,872,0,39,99,0,1010,86.33663366
105,BoundaryAttribute,org.apache.commons.math3.geometry.partitioning,3,0,0,0,0,3,100
106,BoundaryBuilder,org.apache.commons.math3.geometry.partitioning,13,0,0,1,0,14,92.85714286
107,BoundaryProjection,org.apache.commons.math3.geometry.partitioning,3,0,0,0,0,3,100
108,BoundaryProjector,org.apache.commons.math3.geometry.partitioning,22,0,0,3,0,25,88
109,BoundarySizeVisitor,org.apache.commons.math3.geometry.partitioning,6,0,0,0,0,6,100
110,BracketFinder,org.apache.commons.math3.optim.univariate,52,0,9,28,0,89,58.42696629
111,BracketFinder,org.apache.commons.math3.optimization.univariate,27,0,15,49,0,91,29.67032967
112,BracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers,118,0,0,25,1,144,82.63888889
113,BracketingNthOrderBrentSolverDFP,org.apache.commons.math3.dfp,5,0,1,1,0,7,71.42857143
114,BrentOptimizer,org.apache.commons.math3.optim.univariate,95,0,2,18,0,115,82.60869565
115,BrentOptimizer,org.apache.commons.math3.optimization.univariate,94,0,2,19,0,115,81.73913043
116,BrentSolver,org.apache.commons.math3.analysis.solvers,63,0,0,23,0,86,73.25581395
117,CMAESOptimizer,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,291,0,49,145,0,485,60
118,CMAESOptimizer,org.apache.commons.math3.optimization.direct,283,0,51,148,0,482,58.71369295
119,CanberraDistance,org.apache.commons.math3.ml.distance,9,0,0,1,0,10,90
120,CardanEulerSingularityException,org.apache.commons.math3.geometry.euclidean.threed,0,0,0,1,0,1,0
121,CauchyDistribution,org.apache.commons.math3.distribution,30,0,2,3,0,35,85.71428571
122,Cbrt,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
123,Ceil,org.apache.commons.math3.analysis.function,0,0,0,1,0,1,0
124,CentralPivotingStrategy,org.apache.commons.math3.util,0,0,5,0,0,5,0
125,CentroidCluster,org.apache.commons.math3.ml.clustering,1,0,0,0,0,1,100
126,Characterization,org.apache.commons.math3.geometry.partitioning,26,0,0,0,0,26,100
127,ChebyshevDistance,org.apache.commons.math3.ml.distance,1,0,0,0,0,1,100
128,ChiSquareTest,org.apache.commons.math3.stat.inference,105,0,0,16,0,121,86.7768595
129,ChiSquaredDistribution,org.apache.commons.math3.distribution,13,0,0,1,1,15,93.33333333
130,CholeskyDecomposition,org.apache.commons.math3.linear,92,0,2,2,0,96,95.83333333
131,Chromosome,org.apache.commons.math3.genetics,7,0,1,0,0,8,87.5
132,ChromosomePair,org.apache.commons.math3.genetics,2,0,1,0,0,3,66.66666667
133,Circle,org.apache.commons.math3.geometry.spherical.twod,30,0,1,1,0,32,93.75
134,ClassicalRungeKuttaFieldIntegrator,org.apache.commons.math3.ode.nonstiff,7,0,0,0,0,7,100
135,ClassicalRungeKuttaFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,4,0,0,1,0,5,80
136,ClassicalRungeKuttaStepInterpolator,org.apache.commons.math3.ode.nonstiff,69,0,0,1,0,70,98.57142857
137,ClopperPearsonInterval,org.apache.commons.math3.stat.interval,26,0,0,4,0,30,86.66666667
138,Cluster,org.apache.commons.math3.ml.clustering,1,0,0,0,0,1,100
139,Cluster,org.apache.commons.math3.stat.clustering,2,0,0,0,0,2,100
140,ClusterEvaluator,org.apache.commons.math3.ml.clustering.evaluation,13,0,1,2,0,16,81.25
141,Clusterer,org.apache.commons.math3.ml.clustering,2,0,0,0,0,2,100
142,Combinations,org.apache.commons.math3.util,63,0,0,4,0,67,94.02985075
143,CombinatoricsUtils,org.apache.commons.math3.util,132,0,3,35,4,174,78.16091954
144,Complex,org.apache.commons.math3.complex,278,0,8,20,1,307,90.87947883
145,ComplexField,org.apache.commons.math3.complex,4,0,1,0,0,5,80
146,ComplexFormat,org.apache.commons.math3.complex,31,0,14,6,0,51,60.78431373
147,ComplexUtils,org.apache.commons.math3.complex,8,0,0,0,0,8,100
148,CompositeFormat,org.apache.commons.math3.util,35,0,0,5,0,40,87.5
149,ConfidenceInterval,org.apache.commons.math3.stat.interval,5,0,1,5,0,11,45.45454545
150,ConjugateGradient,org.apache.commons.math3.linear,19,0,3,11,1,34,58.82352941
151,Constant,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666667
152,ConstantRealDistribution,org.apache.commons.math3.distribution,15,0,1,2,0,18,83.33333333
153,ContinuedFraction,org.apache.commons.math3.util,15,0,2,3,4,24,79.16666667
154,ContinuousOutputFieldModel,org.apache.commons.math3.ode,40,0,1,28,4,73,60.2739726
155,ContinuousOutputModel,org.apache.commons.math3.ode,44,0,2,58,4,108,44.44444444
156,ConvergenceException,org.apache.commons.math3.exception,0,0,0,1,0,1,0
157,ConvexHull2D,org.apache.commons.math3.geometry.euclidean.twod.hull,32,0,0,1,0,33,96.96969697
158,CorrelatedRandomVectorGenerator,org.apache.commons.math3.random,12,0,4,1,0,17,70.58823529
159,Cos,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666667
160,Cosh,org.apache.commons.math3.analysis.function,1,0,1,1,0,3,33.33333333
161,Covariance,org.apache.commons.math3.stat.correlation,35,0,1,3,0,39,89.74358974
