,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
0,AbstractBagDecorator,org.apache.commons.collections4.bag,6,0,2,1,0,9,66.66666667
1,AbstractBidiMapDecorator,org.apache.commons.collections4.bidimap,0,0,6,0,0,6,0
2,AbstractBitwiseTrie,org.apache.commons.collections4.trie,1,0,38,0,0,39,2.564102564
3,AbstractCollectionDecorator,org.apache.commons.collections4.collection,16,0,0,0,0,16,100
4,AbstractDualBidiMap,org.apache.commons.collections4.bidimap,11,0,83,2,0,96,11.45833333
5,AbstractEmptyIterator,org.apache.commons.collections4.iterators,4,0,0,0,0,4,100
6,AbstractHashedMap,org.apache.commons.collections4.map,100,1,106,42,1,249,40.562249
7,AbstractInputCheckedMapDecorator,org.apache.commons.collections4.map,9,0,8,4,0,21,42.85714286
8,AbstractIterableGetMapDecorator,org.apache.commons.collections4.splitmap,12,0,4,1,0,17,70.58823529
9,AbstractIterableMap,org.apache.commons.collections4.map,0,0,1,0,0,1,0
10,AbstractIteratorDecorator,org.apache.commons.collections4.iterators,1,0,0,0,0,1,100
11,AbstractKeyValue,org.apache.commons.collections4.keyvalue,5,0,0,0,0,5,100
12,AbstractLinkedList,org.apache.commons.collections4.list,0,0,237,0,0,237,0
13,AbstractLinkedMap,org.apache.commons.collections4.map,24,0,56,0,0,80,30
14,AbstractListDecorator,org.apache.commons.collections4.list,15,0,0,0,0,15,100
15,AbstractListIteratorDecorator,org.apache.commons.collections4.iterators,10,0,0,1,0,11,90.90909091
16,AbstractListValuedMap,org.apache.commons.collections4.multimap,4,0,33,0,0,37,10.81081081
17,AbstractMapBag,org.apache.commons.collections4.bag,70,0,42,16,0,128,54.6875
18,AbstractMapDecorator,org.apache.commons.collections4.map,19,0,0,0,0,19,100
19,AbstractMapEntry,org.apache.commons.collections4.keyvalue,14,0,1,1,0,16,87.5
20,AbstractMapEntryDecorator,org.apache.commons.collections4.keyvalue,5,0,5,0,0,10,50
21,AbstractMapIteratorDecorator,org.apache.commons.collections4.iterators,0,0,8,0,0,8,0
22,AbstractMapMultiSet,org.apache.commons.collections4.multiset,16,0,72,9,2,99,18.18181818
23,AbstractMultiSet,org.apache.commons.collections4.multiset,0,0,93,1,0,94,0
24,AbstractMultiSetDecorator,org.apache.commons.collections4.multiset,2,0,9,0,0,11,18.18181818
25,AbstractMultiValuedMap,org.apache.commons.collections4.multimap,11,0,148,4,0,163,6.748466258
26,AbstractMultiValuedMapDecorator,org.apache.commons.collections4.multimap,2,0,23,1,0,26,7.692307692
27,AbstractNavigableSetDecorator,org.apache.commons.collections4.set,0,0,12,0,0,12,0
28,AbstractOrderedBidiMapDecorator,org.apache.commons.collections4.bidimap,0,0,7,0,0,7,0
29,AbstractOrderedMapDecorator,org.apache.commons.collections4.map,5,0,1,0,0,6,83.33333333
30,AbstractOrderedMapIteratorDecorator,org.apache.commons.collections4.iterators,0,0,10,0,0,10,0
31,AbstractPatriciaTrie,org.apache.commons.collections4.trie,0,0,550,0,0,550,0
32,AbstractQuantifierPredicate,org.apache.commons.collections4.functors,0,0,1,0,0,1,0
33,AbstractQueueDecorator,org.apache.commons.collections4.queue,2,0,4,0,0,6,33.33333333
34,AbstractReferenceMap,org.apache.commons.collections4.map,0,0,155,0,0,155,0
35,AbstractSerializableListDecorator,org.apache.commons.collections4.list,1,0,0,3,0,4,25
36,AbstractSerializableSetDecorator,org.apache.commons.collections4.set,1,0,0,3,0,4,25
37,AbstractSetDecorator,org.apache.commons.collections4.set,5,0,0,0,0,5,100
38,AbstractSetValuedMap,org.apache.commons.collections4.multimap,0,0,10,0,0,10,0
39,AbstractSortedBagDecorator,org.apache.commons.collections4.bag,1,0,3,0,0,4,25
40,AbstractSortedBidiMapDecorator,org.apache.commons.collections4.bidimap,0,0,7,0,0,7,0
41,AbstractSortedMapDecorator,org.apache.commons.collections4.map,1,0,14,0,0,15,6.666666667
42,AbstractSortedSetDecorator,org.apache.commons.collections4.set,0,0,7,0,0,7,0
43,AbstractUntypedIteratorDecorator,org.apache.commons.collections4.iterators,4,0,0,0,0,4,100
